state_code,state,state_name,language,speakers,state_population,share_pct,share_label,national_rank,national_total,source_table,source_url
1,NSW,New South Wales,Mandarin,270685,8072163,3.353,3.4%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Arabic,227243,8072163,2.815,2.8%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Vietnamese,117907,8072163,1.461,1.5%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Cantonese,148943,8072163,1.845,1.8%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Punjabi,53460,8072163,0.662,0.7%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Greek,78691,8072163,0.975,1.0%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Italian,64039,8072163,0.793,0.8%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Hindi,80051,8072163,0.992,1.0%,8,197132,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Spanish,71868,8072163,0.89,0.9%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
1,NSW,New South Wales,Nepali,68148,8072163,0.844,0.8%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Mandarin,221798,6503491,3.41,3.4%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Arabic,91441,6503491,1.406,1.4%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Vietnamese,118801,6503491,1.827,1.8%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Cantonese,82432,6503491,1.268,1.3%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Punjabi,104949,6503491,1.614,1.6%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Greek,107158,6503491,1.648,1.6%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
2,VIC,Victoria,Italian,92320,6503491,1.42,1.4%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
