rank,language,speakers,share_total_population_percent,source_url
1,Mandarin,685268,2.695,https://www.abs.gov.au/census/find-census-data/datapacks
2,Arabic,367154,1.444,https://www.abs.gov.au/census/find-census-data/datapacks
3,Vietnamese,320760,1.262,https://www.abs.gov.au/census/find-census-data/datapacks
4,Cantonese,295292,1.162,https://www.abs.gov.au/census/find-census-data/datapacks
5,Punjabi,239041,0.94,https://www.abs.gov.au/census/find-census-data/datapacks
6,Greek,229643,0.903,https://www.abs.gov.au/census/find-census-data/datapacks
7,Italian,228046,0.897,https://www.abs.gov.au/census/find-census-data/datapacks
8,Hindi,197132,0.775,https://www.abs.gov.au/census/find-census-data/datapacks
9,Spanish,171378,0.674,https://www.abs.gov.au/census/find-census-data/datapacks
10,Nepali,133078,0.523,https://www.abs.gov.au/census/find-census-data/datapacks
