SA2_CODE_2021,total_population,australia_born,country_birth_not_stated,overseas_born,overseas_percent
101021007,4343,3422,387,534,12.3
101021008,8517,6522,511,1484,17.42
101021009,11342,7697,597,3048,26.87
101021010,5085,3593,235,1257,24.72
101021012,12744,10156,399,2189,17.18
101021610,6224,4808,208,1208,19.41
101021611,16539,13507,935,2097,12.68
101031013,2454,2005,260,189,7.7
101031014,6761,5264,386,1111,16.43
101031015,3472,2749,323,400,11.52
101031016,8035,6316,564,1155,14.37
101041017,8581,6678,633,1270,14.8
101041018,8938,6762,753,1423,15.92
101041019,8872,7348,672,852,9.6
101041020,9557,7727,778,1052,11.01
101041021,3792,3081,251,460,12.13
101041022,43,28,10,5,11.63
101041023,3425,2692,330,403,11.77
101041024,3525,2753,403,369,10.47
101041025,11513,9158,676,1679,14.58
101041026,8600,6785,786,1029,11.97
101041027,9888,7644,818,1426,14.42
101051539,24565,20465,1445,2655,10.81
101051540,13839,11310,1242,1287,9.3
101061541,6763,5796,334,633,9.36
101061542,12713,10538,745,1430,11.25
101061543,11004,9329,777,898,8.16
101061544,7677,6402,767,508,6.62
102011028,7513,5857,242,1414,18.82
102011029,11042,8766,420,1856,16.81
102011030,4716,3526,436,754,15.99
102011031,14758,11044,577,3137,21.26
102011032,21204,14848,1182,5174,24.4
102011033,6485,5109,172,1204,18.57
102011034,7615,5977,366,1272,16.7
102011035,7157,5596,178,1383,19.32
102011036,8205,6642,202,1361,16.59
102011037,6571,4889,232,1450,22.07
102011038,7160,5935,250,975,13.62
102011039,14849,11169,645,3035,20.44
102011040,24697,18973,1497,4227,17.12
102011041,10675,8690,374,1611,15.09
102011042,14346,10776,854,2716,18.93
102011043,11423,8654,566,2203,19.29
102021044,22825,19040,1244,2541,11.13
102021045,11290,9718,448,1124,9.96
102021046,9728,8121,588,1019,10.47
102021047,16006,13497,546,1963,12.26
102021048,22362,18056,1541,2765,12.36
102021049,3420,2886,148,386,11.29
102021050,10960,9045,619,1296,11.82
102021051,4928,3955,186,787,15.97
102021052,6492,5524,275,693,10.67
102021053,15839,12437,1119,2283,14.41
102021054,9909,8130,653,1126,11.36
102021055,5229,4025,195,1009,19.3
102021056,20051,15862,778,3411,17.01
102021057,9120,6957,676,1487,16.3
103011059,12330,10712,577,1041,8.44
103011060,6909,5894,481,534,7.73
103011061,4834,3667,644,523,10.82
103011612,10752,8566,646,1540,14.32
103011613,14313,12372,657,1284,8.97
103021062,6372,5242,823,307,4.82
103021063,9273,7958,663,652,7.03
103021064,5716,4680,660,376,6.58
103021065,10020,8595,987,438,4.37
103021066,3597,3082,316,199,5.53
103021067,10919,9472,789,658,6.03
103021068,3262,2782,337,143,4.38
103021069,5525,4664,547,314,5.68
103031070,12385,10177,907,1301,10.5
103031071,8448,6927,722,799,9.46
103031072,12563,10826,690,1047,8.33
103031073,3398,2688,397,313,9.21
103031074,11072,9148,1117,807,7.29
103031075,0,0,0,0,0
103041076,7517,6548,506,463,6.16
103041077,19023,15777,1318,1928,10.14
103041078,22895,19290,1026,2579,11.26
103041079,11830,10205,908,717,6.06
104011080,19255,16785,1335,1135,5.89
104011081,16875,14057,1405,1413,8.37
104011082,17533,14445,1217,1871,10.67
104021083,6168,4701,511,956,15.5
104021084,18099,13941,1215,2943,16.26
104021085,11305,8154,958,2193,19.4
104021086,3950,3212,303,435,11.01
104021087,3250,2545,348,357,10.98
104021088,10262,8279,333,1650,16.08
104021089,20066,16728,1038,2300,11.46
104021090,4907,4067,371,469,9.56
104021091,14463,11035,759,2669,18.45
105011092,3428,2652,610,166,4.84
105011093,4129,3177,653,299,7.24
105011094,3926,3226,577,123,3.13
105011095,4591,3843,480,268,5.84
105011096,5534,3620,1464,450,8.13
105021097,17588,15119,1567,902,5.13
105021098,2288,1778,420,90,3.93
105031099,7921,6280,1173,468,5.91
105031100,10633,8764,930,939,8.83
105031101,19628,15684,1480,2464,12.55
105031102,10317,8351,944,1022,9.91
105031103,5963,5110,617,236,3.96
105031104,4398,3700,550,148,3.37
105031105,6458,5278,927,253,3.92
105031106,8769,7161,954,654,7.46
106011107,12770,11124,501,1145,8.97
106011108,23495,20527,1228,1740,7.41
106011109,9145,7859,531,755,8.26
106011110,9541,8492,530,519,5.44
106011111,20631,18535,970,1126,5.46
106011112,17018,14527,928,1563,9.18
106011113,5332,4500,484,348,6.53
106021114,8611,7508,329,774,8.99
106021116,8727,7818,258,651,7.46
106021614,17981,15318,772,1891,10.52
106021615,17730,15333,772,1625,9.17
106021616,7976,6957,460,559,7.01
106021617,10091,8947,394,750,7.43
106021618,15899,13778,327,1794,11.28
106031119,6449,5162,366,921,14.28
106031120,6887,5759,368,760,11.04
106031121,21972,17085,1034,3853,17.54
106031122,14588,12486,924,1178,8.08
106031123,5693,5106,202,385,6.76
106031124,5804,4369,515,920,15.85
106031125,15020,13004,625,1391,9.26
106041126,12272,10391,794,1087,8.86
106041127,4083,3479,309,295,7.23
106041128,6035,5021,331,683,11.32
106041129,8194,6928,646,620,7.57
107011131,24195,19295,922,3978,16.44
107011132,12155,9858,279,2018,16.6
107011133,5,3,0,2,40.0
107011134,15280,11753,516,3011,19.71
107011545,14200,9660,758,3782,26.63
107011546,9740,6253,735,2752,28.25
107011547,4239,3328,275,636,15.0
107021135,9,7,0,2,22.22
107031136,19026,16037,606,2383,12.52
107031137,6920,5553,328,1039,15.01
107031138,8786,6843,334,1609,18.31
107031139,6063,5074,239,750,12.37
107031140,8136,6787,367,982,12.07
107031141,19341,15646,578,3117,16.12
107031142,10590,8001,509,2080,19.64
107031143,20397,15313,1426,3658,17.93
107041144,21519,15885,908,4726,21.96
107041145,16041,12362,712,2967,18.5
107041146,22773,16577,893,5303,23.29
107041147,9135,7720,219,1196,13.09
107041148,11957,9649,323,1985,16.6
107041150,20761,17160,665,2936,14.14
107041548,16020,10560,755,4705,29.37
107041549,16551,10600,875,5076,30.67
108011151,5235,4280,508,447,8.54
108011152,14709,11999,1006,1704,11.58
108011153,6988,5494,656,838,11.99
108011154,6376,5325,383,668,10.48
108021155,15654,13215,1411,1028,6.57
108021156,9472,7723,917,832,8.78
108021157,5189,4360,380,449,8.65
108021158,7111,5588,717,806,11.33
108021159,8102,6567,757,778,9.6
108021160,5628,4702,379,547,9.72
108031161,445,333,42,70,15.73
108041162,18484,15613,875,1996,10.8
108041164,21147,16783,1269,3095,14.64
108041165,5301,4412,437,452,8.53
108041166,12796,11089,685,1022,7.99
108041619,11764,9507,546,1711,14.54
108041620,17284,14337,559,2388,13.82
108051167,5310,4479,394,437,8.23
108051168,12476,10292,781,1403,11.25
108051169,21123,17513,1823,1787,8.46
108051170,13044,10829,1018,1197,9.18
108051171,5395,4659,375,361,6.69
109011172,17831,15251,634,1946,10.91
109011173,10527,8517,823,1187,11.28
109011174,10519,8482,656,1381,13.13
109011175,12507,10651,1081,775,6.2
109011176,15665,12229,1053,2383,15.21
109021177,2897,2318,380,199,6.87
109021178,6511,5252,845,414,6.36
109021179,3648,2787,538,323,8.85
109031180,5595,4797,363,435,7.77
109031181,7262,6097,666,499,6.87
109031182,7038,5879,739,420,5.97
109031183,6837,5753,717,367,5.37
109031184,6930,5885,495,550,7.94
109031185,9778,8028,981,769,7.86
110011186,23967,17731,2297,3939,16.44
110011187,4527,3610,568,349,7.71
110011188,5894,5054,395,445,7.55
110011189,3144,2622,348,174,5.53
110021190,8931,7287,970,674,7.55
110021191,12057,10055,1118,884,7.33
110021192,5200,4224,619,357,6.87
110021193,5734,4903,590,241,4.2
110021194,6810,5497,722,591,8.68
110031195,7845,5877,1452,516,6.58
110031196,5356,3783,1357,216,4.03
110031197,6898,5958,604,336,4.87
110031198,4616,3741,699,176,3.81
110041199,9745,8332,857,556,5.71
110041200,4369,3705,493,171,3.91
110041201,7551,6276,912,363,4.81
110041202,21360,18196,1429,1735,8.12
110041203,16517,13446,1079,1992,12.06
110041204,5998,4713,754,531,8.85
110041205,19038,16702,1310,1026,5.39
111011206,17864,15574,646,1644,9.2
111011207,5680,4982,274,424,7.46
111011208,25254,21685,806,2763,10.94
111011209,24588,21300,688,2600,10.57
111011210,9504,7981,698,825,8.68
111011211,3785,3234,169,382,10.09
111011212,12559,10684,495,1380,10.99
111011213,12568,10776,243,1549,12.32
111011214,14694,12473,472,1749,11.9
111021215,10135,8641,546,948,9.35
111021216,9691,8183,346,1162,11.99
111021217,16375,13954,485,1936,11.82
111021218,18129,14924,749,2456,13.55
111021219,13961,11811,591,1559,11.17
111021220,9467,8026,413,1028,10.86
111021221,7254,6606,234,414,5.71
111031222,16600,14097,434,2069,12.46
111031223,8561,7424,416,721,8.42
111031224,12772,10026,820,1926,15.08
111031225,17343,14594,565,2184,12.59
111031226,16429,13032,419,2978,18.13
111031227,15526,12691,647,2188,14.09
111031228,14506,12323,412,1771,12.21
111031229,12805,10010,591,2204,17.21
111031230,31,21,5,5,16.13
111031231,12593,8384,1277,2932,23.28
111031232,8824,7385,493,946,10.72
111031233,20958,17038,820,3100,14.79
111031234,12883,10320,666,1897,14.72
111031235,9171,7649,320,1202,13.11
112011236,18629,14996,1321,2312,12.41
112011237,18327,15185,933,2209,12.05
112011238,6958,4804,801,1353,19.45
112011239,9170,6680,763,1727,18.83
112011240,10914,6942,942,3030,27.76
112011241,5643,4634,612,397,7.04
112011242,9236,7437,436,1363,14.76
112011243,8896,5898,1209,1789,20.11
112021244,12298,10481,1127,690,5.61
112021245,7381,5952,910,519,7.03
112021246,13591,11538,726,1327,9.76
112021247,7611,6097,768,746,9.8
112021248,15229,12519,1186,1524,10.01
112021249,15786,12397,1592,1797,11.38
112031250,14818,11822,757,2239,15.11
112031251,9501,7696,609,1196,12.59
112031252,10352,7759,1291,1302,12.58
112031253,14086,11197,954,1935,13.74
112031254,20563,15104,1654,3805,18.5
112031550,16320,13074,798,2448,15.0
112031551,3324,2746,134,444,13.36
112031552,8423,6236,521,1666,19.78
113011256,20569,13751,1365,5453,26.51
113011257,12760,9919,1612,1229,9.63
113011258,10330,8383,770,1177,11.39
113011259,5905,4966,607,332,5.62
113021260,3522,2860,323,339,9.63
113021261,6667,5557,479,631,9.46
113021262,4744,3883,462,399,8.41
113031263,7705,6600,572,533,6.92
113031264,3715,3027,440,248,6.68
113031265,6351,5398,411,542,8.53
113031266,6603,5842,408,353,5.35
113031267,16921,14560,668,1693,10.01
113031268,5605,4508,305,792,14.13
113031269,22522,18600,1108,2814,12.49
113031270,11962,9590,871,1501,12.55
113031271,17788,15193,1377,1218,6.85
114011272,9489,7444,532,1513,15.94
114011273,3642,2922,173,547,15.02
114011274,5105,4255,254,596,11.67
114011275,62,53,5,4,6.45
114011276,4844,3689,243,912,18.83
114011277,16098,13010,859,2229,13.85
114011278,22584,17989,1812,2783,12.32
114011279,15259,12155,1015,2089,13.69
114011280,4694,3683,440,571,12.16
114011281,3708,2984,279,445,12.0
114011282,17026,13771,1049,2206,12.96
114011283,5822,4687,416,719,12.35
114021284,13626,10009,714,2903,21.3
114021285,6393,5451,194,748,11.7
114021286,10931,8237,482,2212,20.24
114021287,10648,8205,653,1790,16.81
114021288,3829,3016,256,557,14.55
114021289,7250,5505,456,1289,17.78
115011290,24726,13817,556,10353,41.87
115011291,21683,11780,498,9405,43.37
115011294,6361,4632,111,1618,25.44
115011296,12683,6958,216,5509,43.44
115011553,7677,4013,181,3483,45.37
115011554,5670,2983,157,2530,44.62
115011555,12189,6793,301,5095,41.8
115011556,10419,5418,242,4759,45.68
115011557,5183,2730,61,2392,46.15
115011558,19082,8859,267,9956,52.17
115011621,17709,10555,287,6867,38.78
115011622,11375,5541,210,5624,49.44
115021297,22479,16435,653,5391,23.98
115021298,5436,4196,221,1019,18.75
115031299,2846,2160,289,397,13.95
115031300,22161,18968,583,2610,11.78
115041301,11414,9534,434,1446,12.67
115041623,10287,5843,232,4212,40.94
115041624,17401,9399,483,7519,43.21
115041625,17581,10389,245,6947,39.51
116011303,17032,7197,1087,8748,51.36
116011304,20584,9804,1121,9659,46.92
116011306,23384,10439,1227,11718,50.11
116011307,25373,15810,1302,8261,32.56
116011560,12646,6083,663,5900,46.66
116011561,17141,8046,1049,8046,46.94
116011626,14866,7322,655,6889,46.34
116011627,11578,4964,561,6053,52.28
116021309,15829,7633,245,7951,50.23
116021562,3668,1985,28,1655,45.12
116021563,24670,13082,806,10782,43.7
116021628,21058,11036,442,9580,45.49
116021629,15524,6741,584,8199,52.81
116021630,13844,8635,721,4488,32.42
116021631,10011,4653,339,5019,50.13
116021632,25130,10472,1086,13572,54.01
116021633,13034,6636,402,5996,46.0
116031313,18536,10817,2124,5595,30.18
116031314,8374,4436,341,3597,42.95
116031315,21414,10683,997,9734,45.46
116031316,21551,13287,1994,6270,29.09
116031317,22918,10519,1755,10644,46.44
116031318,12,6,4,2,16.67
116031319,22826,10977,1373,10476,45.9
117011320,508,168,89,251,49.41
117011321,12960,8157,596,4207,32.46
117011323,14762,7144,855,6763,45.81
117011324,6,4,0,2,33.33
117011325,19,3,6,10,52.63
117011634,8941,4024,461,4456,49.84
117011635,21573,7570,1099,12904,59.82
117021327,19898,13393,946,5559,27.94
117021328,8278,5174,289,2815,34.01
117021636,12317,7695,554,4068,33.03
117021637,14283,8380,628,5275,36.93
117031329,10615,5597,730,4288,40.4
117031330,19126,11406,792,6928,36.22
117031331,20262,11242,1280,7740,38.2
117031333,18187,9792,1615,6780,37.28
117031336,15828,7715,1114,6999,44.22
117031638,8332,5123,400,2809,33.71
117031639,7803,2340,646,4817,61.73
117031640,14667,9471,669,4527,30.87
117031641,12658,5147,913,6598,52.13
117031642,13670,7131,1051,5488,40.15
117031643,12290,5401,657,6232,50.71
117031644,8004,3062,602,4340,54.22
117031645,19935,3170,1445,15320,76.85
117031646,7410,1981,528,4901,66.14
117031647,16379,6090,1415,8874,54.18
117031648,12622,4075,592,7955,63.02
118011339,19055,10548,1028,7479,39.25
118011340,20705,10969,1155,8581,41.44
118011341,17720,8891,1084,7745,43.71
118011342,0,0,0,0,0
118011344,11122,5924,440,4758,42.78
118011345,14793,9595,597,4601,31.1
118011346,11924,7058,612,4254,35.68
118011347,7454,4721,277,2456,32.95
118011649,14429,8697,585,5147,35.67
118011650,9958,5915,521,3522,35.37
118021564,11809,5830,662,5317,45.02
118021565,13605,6328,580,6697,49.22
118021566,9790,5645,341,3804,38.86
118021567,11084,6077,704,4303,38.82
118021568,9846,4711,305,4830,49.06
118021569,16206,9403,599,6204,38.28
118021570,12735,6638,667,5430,42.64
118021651,19521,11623,829,7069,36.21
118021652,10610,6775,546,3289,31.0
118021653,13412,8272,720,4420,32.96
118021654,5611,3455,339,1817,32.38
119011354,23855,13808,2005,8042,33.71
119011355,1469,664,88,717,48.81
119011356,12773,6740,927,5106,39.97
119011358,17200,10321,726,6153,35.77
119011360,17664,10133,789,6742,38.17
119011361,22484,11055,1471,9958,44.29
119011571,16981,6214,1179,9588,56.46
119011572,18434,6625,1416,10393,56.38
119011655,14637,7680,1061,5896,40.28
119011656,13416,7090,935,5391,40.18
119011657,11340,7907,349,3084,27.2
119011658,15994,11234,484,4276,26.74
119021362,20332,9827,1346,9159,45.05
119021366,21544,9788,1533,10223,47.45
119021367,14577,8191,653,5733,39.33
119021573,17092,5471,1381,10240,59.91
119021574,10135,3446,817,5872,57.94
119021659,11905,3310,621,7974,66.98
119021660,9059,2188,882,5989,66.11
119021661,12220,5410,783,6027,49.32
119021662,17969,11123,618,6228,34.66
119021663,6261,3621,263,2377,37.97
119031370,13791,6574,558,6659,48.29
119031371,12594,8251,314,4029,31.99
119031372,20220,13856,716,5648,27.93
119031373,11606,4384,767,6455,55.62
119031374,25259,12136,971,12152,48.11
119031664,12046,2681,515,8850,73.47
119031665,12109,4758,387,6964,57.51
119031666,14715,9336,425,4954,33.67
119031667,9528,4076,496,4956,52.02
119041377,12973,7504,408,5061,39.01
119041378,13051,4978,687,7386,56.59
119041379,16200,7659,658,7883,48.66
119041380,13896,7450,815,5631,40.52
119041381,19853,7380,1004,11469,57.77
119041382,16659,10615,872,5172,31.05
119041668,16579,7822,1153,7604,45.87
119041669,10145,5774,374,3997,39.4
119041670,15831,6876,624,8331,52.62
119041671,10731,2493,620,7618,70.99
120011383,23113,14232,745,8136,35.2
120011385,18366,12493,704,5169,28.14
120011386,20933,13415,742,6776,32.37
120011672,12842,6690,622,5530,43.06
120011673,11453,2697,490,8266,72.17
120021387,15579,10280,599,4700,30.17
120021389,13824,9293,560,3971,28.73
120021674,9464,6531,473,2460,25.99
120021675,17532,11885,598,5049,28.8
120031392,11999,6532,388,5079,42.33
120031393,17434,9821,820,6793,38.96
120031394,17948,11326,904,5718,31.86
120031395,13520,9034,393,4093,30.27
120031396,20822,5618,1163,14041,67.43
120031576,3636,1823,105,1708,46.97
120031676,11456,5118,448,5890,51.41
120031677,12246,5802,433,6011,49.09
120031678,15942,3720,917,11305,70.91
120031679,10993,5541,390,5062,46.05
120031680,16420,4353,858,11209,68.26
120031681,9253,4648,328,4277,46.22
121011399,21294,10478,712,10104,47.45
121011401,11903,5836,444,5623,47.24
121011682,9406,4398,330,4678,49.73
121011683,13440,8761,325,4354,32.4
121011684,19601,6586,724,12291,62.71
121011685,12928,8458,318,4152,32.12
121011686,15888,9260,446,6182,38.91
121011687,12996,8237,336,4423,34.03
121021403,22057,13627,407,8023,36.37
121021404,11790,8887,150,2753,23.35
121021406,19158,12105,295,6758,35.28
121021577,11943,4421,409,7113,59.56
121021578,10629,5852,307,4470,42.05
121021579,11877,4646,431,6800,57.25
121031407,22433,10595,584,11254,50.17
121031408,24599,14049,588,9962,40.5
121031409,17221,9883,340,6998,40.64
121031410,21665,10978,384,10303,47.56
121031411,20251,12435,357,7459,36.83
121031412,18191,10852,392,6947,38.19
121041413,18905,11578,574,6753,35.72
121041414,17916,10250,518,7148,39.9
121041416,17183,9848,869,6466,37.63
121041417,12441,5982,726,5733,46.08
121041688,13763,8195,500,5068,36.82
121041689,14565,9229,393,4943,33.94
122011418,20732,13586,494,6652,32.09
122011419,22438,12913,869,8656,38.58
122021420,13052,9622,406,3024,23.17
122021421,11243,7997,412,2834,25.21
122021422,13681,10068,364,3249,23.75
122021690,14634,10397,640,3597,24.58
122021691,10874,8019,373,2482,22.83
122031424,14547,9747,424,4376,30.08
122031425,8046,5818,264,1964,24.41
122031427,13161,8439,357,4365,33.17
122031429,21828,14071,741,7016,32.14
122031430,17550,11656,381,5513,31.41
122031432,3786,2833,85,868,22.93
122031692,8652,6043,143,2466,28.5
122031693,13980,9995,469,3516,25.15
122031694,9116,6005,298,2813,30.86
122031695,17816,8706,587,8523,47.84
122031696,17175,11845,281,5049,29.4
122031697,11241,8108,408,2725,24.24
123011433,13295,11099,428,1768,13.3
123011698,6445,5037,135,1273,19.75
123011699,14019,11486,414,2119,15.12
123011700,11241,8742,233,2266,20.16
123011701,19040,15213,448,3379,17.75
123011702,9539,7755,183,1601,16.78
123021436,20011,14098,1197,4716,23.57
123021437,22084,12722,1393,7969,36.08
123021438,20236,13465,1072,5699,28.16
123021439,5,0,0,5,100.0
123021441,16729,11170,806,4753,28.41
123021443,21335,11473,1103,8759,41.05
123021444,21155,14368,1275,5512,26.06
123021703,14868,7496,448,6924,46.57
123021704,10536,4847,487,5202,49.37
123021705,16720,8862,836,7022,42.0
123021706,14198,7481,1000,5717,40.27
123031445,5934,5010,252,672,11.32
123031446,11112,9220,627,1265,11.38
123031447,18987,15969,910,2108,11.1
123031448,9808,8145,577,1086,11.07
124011449,5764,4202,351,1211,21.01
124011450,18993,15811,387,2795,14.72
124011451,7,4,0,3,42.86
124011452,13348,9680,582,3086,23.12
124011453,11445,9213,325,1907,16.66
124011454,21964,18100,575,3289,14.97
124011455,6428,4786,352,1290,20.07
124021456,8,5,0,3,37.5
124031457,16004,12557,856,2591,16.19
124031459,13914,11410,405,2099,15.09
124031460,21002,16357,466,4179,19.9
124031461,17326,13400,787,3139,18.12
124031462,24625,15356,1654,7615,30.92
124031463,12040,9338,329,2373,19.71
124031464,17966,11816,1751,4399,24.49
124031465,6025,5219,192,614,10.19
124031707,17029,13700,752,2577,15.13
124031708,13388,8957,371,4060,30.33
124041466,15239,11971,860,2408,15.8
124041467,15264,12430,780,2054,13.46
124041468,7504,5930,426,1148,15.3
124051469,6486,4586,242,1658,25.56
124051470,19942,13692,853,5397,27.06
124051580,13028,8065,939,4024,30.89
124051581,17325,10183,1861,5281,30.48
125011475,3,3,0,0,0.0
125011582,19487,5262,1646,12579,64.55
125011583,10592,2000,609,7983,75.37
125011584,8860,3621,723,4516,50.97
125011585,8610,3071,485,5054,58.7
125011586,21197,6484,909,13804,65.12
125011587,5138,2116,226,2796,54.42
125011709,9246,4727,306,4213,45.57
125011710,20412,6432,1037,12943,63.41
125021477,24641,12904,1146,10591,42.98
125021478,18508,9130,870,8508,45.97
125021711,11622,5388,244,5990,51.54
125021712,19251,8106,542,10603,55.08
125031479,20842,9774,1605,9463,45.4
125031480,15742,6479,1395,7868,49.98
125031481,23250,8395,1836,13019,56.0
125031483,22386,10406,2461,9519,42.52
125031484,22929,11202,1788,9939,43.35
125031486,10,6,0,4,40.0
125031487,12,0,0,12,100.0
125031713,16645,10734,704,5207,31.28
125031714,23806,9442,2210,12154,51.05
125031715,10893,6427,394,4072,37.38
125031716,7305,3612,523,3170,43.39
125041489,22878,9182,1472,12224,53.43
125041490,8451,4883,210,3358,39.73
125041491,20275,9081,981,10213,50.37
125041493,22853,11845,1128,9880,43.23
125041494,11199,7685,158,3356,29.97
125041588,13939,4871,798,8270,59.33
125041589,21568,6037,1438,14093,65.34
125041717,12062,2249,740,9073,75.22
125041718,9867,2411,547,6909,70.02
125041719,9034,2224,531,6279,69.5
126011496,21737,13170,467,8100,37.26
126011720,14404,6145,360,7899,54.84
126011721,18690,7099,473,11118,59.49
